2025-05-22 18:11:56,437 | DEBUG | ulauncher.api.server.ExtensionController: _send_event() | Send event PreferencesEvent to "com.github.abhishekmj303.ulauncher-playerctl"
2025-05-22 18:11:56,462 | INFO | ulauncher.api.server.ExtensionController: handleConnected() | Extension "com.github.ulauncher.ulauncher-emoji" connected
2025-05-22 18:11:56,462 | DEBUG | ulauncher.api.server.ExtensionController: _send_event() | Send event PreferencesEvent to "com.github.ulauncher.ulauncher-emoji"
2025-05-22 18:11:56,462 | INFO | ulauncher.api.server.ExtensionController: handleConnected() | Extension "com.github.troublor.ulauncher-numconverter" connected
2025-05-22 18:11:56,463 | DEBUG | ulauncher.api.server.ExtensionController: _send_event() | Send event PreferencesEvent to "com.github.troublor.ulauncher-numconverter"
2025-05-22 18:11:56,466 | INFO | ulauncher.api.server.ExtensionController: handleConnected() | Extension "com.github.rkarami.ulauncher-gitmoji" connected
2025-05-22 18:11:56,466 | DEBUG | ulauncher.api.server.ExtensionController: _send_event() | Send event PreferencesEvent to "com.github.rkarami.ulauncher-gitmoji"
2025-05-22 18:11:56,629 | INFO | ulauncher.api.server.ExtensionController: handleConnected() | Extension "com.github.the-lay.ulauncher-spotify-api" connected
2025-05-22 18:11:56,629 | DEBUG | ulauncher.api.server.ExtensionController: _send_event() | Send event PreferencesEvent to "com.github.the-lay.ulauncher-spotify-api"
2025-05-22 18:11:56,642 | INFO | ulauncher.api.server.ExtensionController: handleConnected() | Extension "com.github.ngencokamin.ulauncher-bitwarden-rbw" connected
2025-05-22 18:11:56,642 | DEBUG | ulauncher.api.server.ExtensionController: _send_event() | Send event PreferencesEvent to "com.github.ngencokamin.ulauncher-bitwarden-rbw"
2025-05-22 18:11:56,643 | INFO | ulauncher.api.server.ExtensionController: handleConnected() | Extension "com.github.fsevenm.ulauncher-verb-forms-checker" connected
2025-05-22 18:11:56,644 | DEBUG | ulauncher.api.server.ExtensionController: _send_event() | Send event PreferencesEvent to "com.github.fsevenm.ulauncher-verb-forms-checker"
2025-05-22 18:11:56,720 | INFO | ulauncher.api.server.ExtensionController: handleConnected() | Extension "com.github.mepowerleo10.ulauncher-dict-en" connected
2025-05-22 18:11:56,720 | DEBUG | ulauncher.api.server.ExtensionController: _send_event() | Send event PreferencesEvent to "com.github.mepowerleo10.ulauncher-dict-en"
2025-05-22 18:11:57,064 | ERROR | ulauncher.api.server.ExtensionRunner: _run_process() | Extension "com.github.rootwork.ulauncher-symbol" was terminated with code 1
2025-05-22 18:12:36,514 | DEBUG | ulauncher.utils.display: get_screens() | Found 2 monitor(s)
2025-05-22 18:12:36,514 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1920, H: 1080
2025-05-22 18:12:36,514 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 1 - X: 1920, Y: 105, W: 1536, H: 864
2025-05-22 18:12:36,517 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2025-05-22 18:12:37,416 | WARNING | ulauncher.utils.image_loader: check_icon_name() | Icon theme is broken or incomplete. Substituting "zellij" for "zellij"
2025-05-22 18:12:37,504 | INFO | ulauncher.utils.image_loader: get_app_icon_pixbuf() | Could not load icon for pinokio. E: gtk-icon-theme-error-quark: Icon 'pinokio' not present in theme Adwaita-yellow (0)
